Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Polo-Mendoza, R; Martinez-Arguelles, G; Walubita, LF; Moreno-Navarro, F; Giustozzi, F; Fuentes, L; Navarro-Donado, T",,,,"Polo-Mendoza, Rodrigo; Martinez-Arguelles, Gilberto; Walubita, Lubinda F.; Moreno-Navarro, Fernando; Giustozzi, Filippo; Fuentes, Luis; Navarro-Donado, Tatiana",,,,,,,,,,,,,,,,,,,,,,"POLO MENDOZA, RODRIGO ERNESTO/0000-0002-7556-2994",,,,,435,,,42,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Jaafaru, H; Agbelie, B",,,,"Jaafaru, Hussaini; Agbelie, Bismark",,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Hugener, M; Wang, D; Falchetto, AC; Porot, L; De Maeijer, PK; Oreskovic, M; Sa-da-Costa, M; Tabatabaee, H; Bocci, E; Kawakami, A; Hofko, B; Grilli, A; Pasquini, E; Pasetto, M; Zhai, HC; Soenen, H; van den Bergh, W; Cardone, F; Carter, A; Vasconcelos, K; Carbonneau, X; Lorserie, A; Mladenovic, G; Koudelka, T; Coufalik, P; Zhang, RH; Dave, E; Tebaldi, G",,,,"Hugener, Martin; Wang, Di; Falchetto, Augusto Cannone; Porot, Laurent; De Maeijer, Patricia Kara; Oreskovic, Marko; Sa-da-Costa, Margarida; Tabatabaee, Hassan; Bocci, Edoardo; Kawakami, Atsushi; Hofko, Bernhard; Grilli, Andrea; Pasquini, Emiliano; Pasetto, Marco; Zhai, Huachun; Soenen, Hilde; van den Bergh, Wim; Cardone, Fabrizio; Carter, Alan; Vasconcelos, Kamilla; Carbonneau, Xavier; Lorserie, Aurelie; Mladenovic, Goran; Koudelka, Tomas; Coufalik, Pavel; Zhang, Runhua; Dave, Eshan; Tebaldi, Gabriele",,,,,,,,,,,,,,,,,,,,,"wang, di/HKD-8820-2023; Dave, Eshan V/G-2937-2010; Pasquini, Emiliano/G-4423-2014; Van den bergh, Wim/L-1322-2018; Wang, Di/V-2805-2019","Pasquini, Emiliano/0000-0001-8448-7140; Wang, Di/0000-0001-9018-0719",,,,,1,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Huang, JD; Wang, QA",,,,"Huang, Jiandong; Wang, Qi-Ang",,,,,,,,,,,,,,,,,,,,,"Huang, Jiandong/AFS-6354-2022",,,,,,41,,,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Toribio, J; Tino, R; Gonzalez, B; Matos, JC",,"Moreira, P; Tavares, P",,"Toribio, Jesus; Tino, Ruben; Gonzalez, Beatriz; Matos, Juan-Carlos",,,,,,,,,,,,,,,,,,,,,"Franco, Juan Carlos Matos/G-1351-2011","Franco, Juan Carlos Matos/0000-0001-7709-0292",,,,,9,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Ma, Y; Zhang, Y; Zhao, W; Ding, XM; Wang, ZW; Ma, T",,,,"Ma, Yuan; Zhang, Yang; Zhao, Wei; Ding, Ximao; Wang, Zhiwen; Ma, Tao",,,,,,,,,,,,,,,,,,,,,"Zhang, Yang/AAC-7008-2019","Zhang, Yang/0000-0002-1150-5595",,,,,25,,,31,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Kaliske, M; Oeser, M; Wollny, I; Behnke, R",,,,"Kaliske, M.; Oeser, M.; Wollny, I.; Behnke, R.",,,,,,,,,,,,,,,,,,,,,,"Oeser, Markus/0000-0002-0380-398X",,,,,16,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Yi, Y; Jiang, YJ; Tian, T; Fan, JT; Yang, DF; Yuan, KJ; Ji, XP; Xue, JS",,,,"Yi, Yong; Jiang, Yingjun; Tian, Tian; Fan, Jiangtao; Yang, Difeng; Yuan, Kejia; Ji, Xiaoping; Xue, Jinshun",,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Chowdhury, SMRM; Kassem, E",,,,"Chowdhury, S. M. Robinur Mohshin; Kassem, Emad",,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Wareing, R; Bull, J; Chiles, S; Jackett, R",,,,"Wareing, Rob; Bull, John; Chiles, Stephen; Jackett, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Coban, HS; Cetin, B; Ceylan, H; Edil, TB; Likos, WJ",,,,"Coban, Haluk Sinan; Cetin, Bora; Ceylan, Halil; Edil, Tuncer B.; Likos, William J.",,,,,,,,,,,,,,,,,,,,,,"Edil, Tuncer/0000-0002-9911-8329",,,,,67,,,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Ding, HB; Zhang, HP; Zhang, H; Qiu, YJ",,,,"Ding, Haibo; Zhang, Haopeng; Zhang, Hong; Qiu, Yanjun",,,,,,,,,,,,,,,,,,,,,"Zhang, Haopeng/AGL-2686-2022","Zhang, Haopeng/0000-0001-8725-0894",,,,,45,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Chen, SQ; Wang, DS; Yi, JY; Feng, DC",,,,"Chen, Songqiang; Wang, Dongsheng; Yi, Junyan; Feng, Decheng",,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Su, YM; Chen, JH; Cheng, JY; Hsu, YT; Huang, MC",,,,"Su, Yu-Min; Chen, Jieh-Haur; Cheng, Jiun-Yao; Hsu, Yu-Ting; Huang, Ming-Cheng",,,,,,,,,,,,,,,,,,,,,"Cheng, Jiun-Yao/HKW-0776-2023","Cheng, Jiun-Yao/0000-0003-2109-8548; Chen, Jieh-Haur/0000-0002-6063-0464",,,,,63,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Geng, JG; Sun, XH; Chen, MY; Lan, Q; Wang, WH; Kuang, DL",,,,"Geng, Jiuguang; Sun, Xiaohui; Chen, Mingyuan; Lan, Qian; Wang, Wenhao; Kuang, Dongliang",,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
