Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Huang, W; Ning, XZ; Ding, Y; Wang, Z",,,,"Huang, Wei; Ning, Xizhan; Ding, Yong; Wang, Zhen",,,,,,,,,,,,,,,,,,,,,,"Ning, Xizhan/0000-0002-6168-7710",,,,,35,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Qie, TQ; Wang, WD; Yang, C; Li, Y; Zhang, YH; Liu, WJ; Xiang, CL",,,,"Qie, Tianqi; Wang, Weida; Yang, Chao; Li, Ying; Zhang, Yuhang; Liu, Wenjie; Xiang, Changle",,,,,,,,,,,,,,,,,,,,,"Zhang, Yuhang/GQI-0669-2022","Zhang, Yuhang/0000-0003-1987-0703; qie, tianqi/0000-0002-3851-9890; Yang, Chao/0000-0001-9255-0752",,,,,39,,,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Bo, P; Tu, XB; Wei, Y; Qu, FZ",,,,"Bo, Peng; Tu, Xingbin; Wei, Yan; Qu, Fengzhong",,,,,,,,,,,,,,,,,,,,,"Bo, Peng/HSI-0614-2023",,,,,,34,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhang, X; Zhou, HX; Fu, J; Wen, H; Yao, BH; Lian, L",,,,"Zhang, Xu; Zhou, Hexiong; Fu, Jian; Wen, Hao; Yao, Baoheng; Lian, Lian",,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Meng, Y; Zhang, XK; Zhang, XF",,,,"Meng, Yao; Zhang, Xianku; Zhang, Xiufeng",,,,,,,,,,,,,,,,,,,,,,"zhang, zxfdmu/0000-0003-1366-2807; Meng, Yao/0000-0003-1711-6379",,,,,40,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Tang, ZY; Gao, FK; Liu, HD; Li, Y",,,,"Tang, Zhenyun; Gao, Fukang; Liu, Haodong; Li, Yong",,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zanjani, MS; Mobayen, S",,,,"Zanjani, Mohammad Saghafi; Mobayen, Saleh",,,,,,,,,,,,,,,,,,,,,"Mobayen, Saleh/N-3724-2018","Mobayen, Saleh/0000-0002-5676-1875",,,,,56,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Liu, HT; Zhuo, JY; Tian, XH; Mai, QQ",,,,"Liu, Haitao; Zhuo, Jiaoyang; Tian, Xuehong; Mai, Qingqun",,,,,,,,,,,,,,,,,,,,,,"Liu, Haitao/0000-0003-0995-4655; Tian, Xuehong/0000-0001-6888-6635",,,,,35,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Kolodziejczyk, W; Kolodziejczyk, M; Kuzmierowski, T; Ostaszewski, M",,,,"Kolodziejczyk, Waldemar; Kolodziejczyk, Miroslawa; Kuzmierowski, Tomasz; Ostaszewski, Michal",,,,,,,,,,,,,,,,,,,,,"Kołodziejczyk, Waldemar/T-9834-2018","Kolodziejczyk, Waldemar/0000-0002-9487-5830",,,,,28,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Ullah, N; Duan, ML; Zheng, MZ; Onuoha, MU; Sajid, M",,,,"Ullah, Naeem; Duan, Menglan; Zheng, Miaozi; Onuoha, Mac Darlington Uche; Sajid, Muhammad",,,,,,,,,,,,,,,,,,,,,"Onuoha, Mac Darlington Uche/HOF-1392-2023; Sajid, Muhammad/AAB-6263-2019","Sajid, Muhammad/0000-0001-9471-8395; Onuoha PhD CEng CMarEng FIMarEST PMP, Mac Darlington/0000-0003-2608-5041",,,,,44,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
